        size,          ops,         time,      op/time
        1024,    156250000,     0.244579,  6.38853e+08
        2048,    156249984,     0.233974,  6.67809e+08
        3072,    156249984,     0.248956,  6.27621e+08
        4096,    156249984,     0.264252,  5.91292e+08
        5120,    156250000,     0.243286,  6.42248e+08
        6144,    156249984,     0.239874,  6.51384e+08
        7168,    156249968,     0.232676,  6.71535e+08
        8192,    156249984,     0.231399,  6.75241e+08
        9216,    156249936,     0.236774,  6.59912e+08
       10240,    156249920,     0.222790,  7.01333e+08
       11264,    156249984,     0.230457,  6.78001e+08
       12288,    156249984,     0.224645,  6.95542e+08
       13312,    156249808,     0.225443,  6.93079e+08
       14336,    156249856,     0.230630,  6.77491e+08
       15360,    156249840,     0.239246,  6.53093e+08
       16384,    156249856,     0.222423,   7.0249e+08
       17408,    156249856,     0.241097,  6.48079e+08
       18432,    156249792,     0.240015,     6.51e+08
       19456,    156249920,     0.213868,   7.3059e+08
       20480,    156249920,     0.266554,  5.86185e+08
       21504,    156249744,     0.290042,  5.38714e+08
       22528,    156249984,     0.245902,  6.35416e+08
       23552,    156249856,     0.239939,  6.51207e+08
       24576,    156249984,     0.244970,  6.37833e+08
       25600,    156250000,     0.258879,  6.03564e+08
       26624,    156249600,     0.247379,   6.3162e+08
       27648,    156249648,     0.243299,  6.42212e+08
       28672,    156249856,     0.244984,  6.37796e+08
       29696,    156249680,     0.250557,  6.23609e+08
       30720,    156249600,     0.260584,  5.99613e+08
       31744,    156249920,     0.263312,  5.93402e+08
       32768,    156249600,     0.324619,  4.81332e+08
       33792,    156249984,     0.347412,  4.49754e+08
       34816,    156249856,     0.408200,  3.82778e+08
       35840,    156249520,     0.439328,  3.55656e+08
       36864,    156249792,     0.455701,  3.42878e+08
       37888,    156249520,     0.466508,  3.34934e+08
       38912,    156249920,     0.472097,   3.3097e+08
       39936,    156249600,     0.463904,  3.36815e+08
       40960,    156249600,     0.460340,  3.39422e+08
       41984,    156249360,     0.452597,  3.45228e+08
       43008,    156249408,     0.462205,  3.38052e+08
       44032,    156249616,     0.451417,  3.46131e+08
       45056,    156249984,     0.459662,  3.39924e+08
       46080,    156249360,     0.456513,  3.42267e+08
       47104,    156249856,     0.453640,  3.44436e+08
       48128,    156249808,     0.456980,  3.41918e+08
       49152,    156249600,     0.456158,  3.42534e+08
       50176,    156249632,     0.458620,  3.40695e+08
       51200,    156249600,     0.487136,  3.20751e+08
       52224,    156249312,     0.471491,  3.31394e+08
       53248,    156249600,     0.465428,  3.35712e+08
       54272,    156249936,     0.463657,  3.36995e+08
       55296,    156249216,     0.461961,   3.3823e+08
       56320,    156249280,     0.472395,   3.3076e+08
       57344,    156249856,     0.462952,  3.37508e+08
       58368,    156249312,     0.458147,  3.41046e+08
       59392,    156249216,     0.455088,  3.43338e+08
       60416,    156249936,     0.461758,  3.38381e+08
       61440,    156249600,     0.459660,  3.39924e+08
       62464,    156249792,     0.458546,  3.40751e+08
       63488,    156249920,     0.457237,  3.41726e+08
       64512,    156249072,     0.457870,  3.41252e+08
       65536,    156249088,     0.456618,  3.42188e+08
       66560,    156249600,     0.453838,  3.44285e+08
       67584,    156249984,     0.458716,  3.40625e+08
       68608,    156249360,     0.456278,  3.42443e+08
       69632,    156249856,     0.459420,  3.40102e+08
       70656,    156249120,     0.456862,  3.42005e+08
       71680,    156248960,     0.462874,  3.37563e+08
       72704,    156249984,     0.467042,  3.34552e+08
       73728,    156249216,     0.460892,  3.39015e+08
       74752,    156249200,     0.462486,  3.37846e+08
       75776,    156248928,     0.471871,  3.31126e+08
       76800,    156249600,     0.461261,  3.38744e+08
       77824,    156249920,     0.458893,  3.40493e+08
       78848,    156249632,     0.458858,  3.40518e+08
       79872,    156249600,     0.457131,  3.41805e+08
       80896,    156249360,     0.470348,  3.32199e+08
